"NOC2006","NOC2011","Title2006","Title2011",,,,,,,,,,,
8612,8612,"Landscaping and Grounds Maintenance Labourers","Landscaping and grounds maintenance labourers",,,,,,,,,,,
8613,8613,"Aquaculture and Marine Harvest Labourers","Aquaculture and marine harvest labourers",,,,,,,,,,,
8614,8614,"Mine Labourers","Mine labourers",,,,,,,,,,,
8615,8615,"Oil and Gas Drilling, Servicing and Related","Oil and gas drilling, servicing and related labourers",,,,,,,,,,,
8616,8616,"Logging and Forestry Labourers","Logging and forestry labourers",,,,,,,,,,,
9211,9211,"Supervisors, Mineral and Metal Processing","Supervisors, mineral and metal processing",,,,,,,,,,,
9212,9212,"Supervisors, petroleum, gas and chemical processing and utilities","Supervisors, petroleum, gas and chemical processing and utilities",,,,,,,,,,,
9213,9213,"Supervisors, food, beverage and tobacco processing","Supervisors, food, beverage and associated products processing",,,,,,,,,,,
9214,9214,"Supervisors, plastic and rubber products manufacturing","Supervisors, plastic and rubber products manufacturing",,,,,,,,,,,
9215,9215,"Supervisors, Forest Products Processing","Supervisors, forest products processing",,,,,,,,,,,
9221,9221,"Supervisors, Motor Vehicle Assembling","Supervisors, motor vehicle assembling",,,,,,,,,,,
9222,9222,"Supervisors, Electronics Manufacturing","Supervisors, electronics manufacturing",,,,,,,,,,,
9223,9223,"Supervisors, electrical products manufacturing","Supervisors, electrical products manufacturing",,,,,,,,,,,
9224,9224,"Supervisors, Furniture and Fixtures Manufacturing","Supervisors, furniture and fixtures manufacturing",,,,,,,,,,,
9225,9217,"Supervisors, Fabric, Fur and Leather Products","Supervisors, textile, fabric, fur and leather products processing and manufacturing",,,,,,,,,,,
9226,9226,"Supervisors, Other Mechanical and Metal Products Manufacturing","Supervisors, other mechanical and metal products manufacturing",,,,,,,,,,,
9227,9227,"Supervisors, Other Products Manufacturing an","Supervisors, other products manufacturing and assembly",,,,,,,,,,,
9231,9231,"Central control and process operators, mineral and metal processing","Central control and process operators, mineral and metal processing",,,,,,,,,,,
9232,9232,"Petroleum, Gas and Chemical Process Operators","Petroleum, gas and chemical process operators",,,,,,,,,,,
9234,9235,"Papermaking and Coating Control Operators","Pulping, papermaking and coating control operators",,,,,,,,,,,
9411,9411,"Machine Operators, Mineral and Metal Processing","Machine operators, mineral and metal processing",,,,,,,,,,,
9412,9412,"Foundry Workers","Foundry workers",,,,,,,,,,,
9413,9413,"Glass Forming and Finishing Machine Operators","Glass forming and finishing machine operators and glass cutters",,,,,,,,,,,
9414,9414,"Concrete, Clay and Stone Forming Operators","Concrete, clay and stone forming operators",,,,,,,,,,,
9415,9415,"Inspectors and Testers, Mineral and Metal Processing","Inspectors and testers, mineral and metal processing",,,,,,,,,,,
9421,9421,"Chemical Plant Machine Operators","Chemical plant machine operators",,,,,,,,,,,
9422,9422,"Plastics Processing Machine Operators","Plastics processing machine operators",,,,,,,,,,,
9423,9423,"Rubber Processing Machine Operators and Related Workers","Rubber processing machine operators and related workers",,,,,,,,,,,
9424,9243,"Water and Waste Plant Operators","Water and waste treatment plant operators",,,,,,,,,,,
9431,9431,"Sawmill Machine Operators","Sawmill machine operators",,,,,,,,,,,
9432,9432,"Pulp Mill Machine Operators","Pulp mill machine operators",,,,,,,,,,,
9433,9433,"Papermaking and Finishing Machine Operators","Papermaking and finishing machine operators",,,,,,,,,,,
9434,9434,"Other Wood Processing Machine Operators","Other wood processing machine operators",,,,,,,,,,,
9435,9435,"Paper Converting Machine Operators","Paper converting machine operators",,,,,,,,,,,
9436,9436,"Lumber Graders and Other Wood Processing Inspectors and Graders","Lumber graders and other wood processing inspectors and graders",,,,,,,,,,,
9442,9442,"Weavers, knitters and other fabric-making occupations","Weavers, knitters and other fabric making occupations",,,,,,,,,,,
9443,9441,"Textile Dyeing and Finishing Machine Operators","Textile fibre and yarn, hide and pelt processing machine operators and workers",,,,,,,,,,,
9444,9447,"Textile Inspectors, Graders and Samplers","Inspectors and graders, textile, fabric, fur and leather products manufacturing",,,,,,,,,,,
9451,9446,"Sewing Machine Operators","Industrial sewing machine operators",,,,,,,,,,,
9452,9445,"Fabric, Fur and Leather Cutters","Fabric, fur and leather cutters",,,,,,,,,,,
9461,9461,"Process control and machine operators, food and beverage processing","Process control and machine operators, food, beverage and associated products processing",,,,,,,,,,,
9462,9462,"Industrial butchers and meat cutters, poultry preparers and related workers","Industrial butchers and meat cutters, poultry preparers and related workers",,,,,,,,,,,
9463,9463,"Fish Plant Workers","Fish and seafood plant workers",,,,,,,,,,,
9465,9465,"Testers and graders, food and beverage processing","Testers and graders, food, beverage and associated products processing",,,,,,,,,,,
9471,9471,"Printing Machine Operators","Plateless printing equipment operators",,,,,,,,,,,
9472,9472,"Camera, Platemaking and Other Prepress Occupations","Camera, platemaking and other prepress occupations",,,,,,,,,,,
9473,9473,"Binding and Finishing Machine Operators","Binding and finishing machine operators",,,,,,,,,,,
9474,9474,"Photographic and Film Processors","Photographic and film processors",,,,,,,,,,,
9481,9521,"Aircraft Assemblers and Aircraft Assembly Inpectors","Aircraft assemblers and aircraft assembly inspectors",,,,,,,,,,,
9482,9522,"Motor Vehicle Assemblers, Inspectors and Testers","Motor vehicle assemblers, inspectors and testers",,,,,,,,,,,
9483,9523,"Electronics Assemblers, Fabricators, Inspectors","Electronics assemblers, fabricators, inspectors and testers",,,,,,,,,,,
9484,9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",,,,,,,,,,,
9485,9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers","Assemblers, fabricators and inspectors, industrial electrical motors and transformers",,,,,,,,,,,
9486,9526,"Mechanical Assemblers and Inspectors","Mechanical assemblers and inspectors",,,,,,,,,,,
9487,9527,"Machine operators and inspectors, electrical apparatus manufacturing","Machine operators and inspectors, electrical apparatus manufacturing",,,,,,,,,,,
9491,9531,"Boat Assemblers and Inspectors","Boat assemblers and inspectors",,,,,,,,,,,
9492,9532,"Furniture and Fixture Assemblers and Inspectors","Furniture and fixture assemblers and inspectors",,,,,,,,,,,
9493,9533,"Other Wood Products Assemblers and Inspectors","Other wood products assemblers and inspectors",,,,,,,,,,,
9494,9534,"Furniture Finishers and Refinishers","Furniture finishers and refinishers",,,,,,,,,,,
9495,9535,"Plastic products assemblers, finishers and inspectors","Plastic products assemblers, finishers and inspectors",,,,,,,,,,,
9496,9536,"Painters and Coaters - Industrial","Industrial painters, coaters and metal finishing process operators",,,,,,,,,,,
9498,9537,"Other Assemblers and Inspectors","Other products assemblers, finishers and inspectors",,,,,,,,,,,
9511,9417,"Machining Tool Operators","Machining tool operators",,,,,,,,,,,
9513,9437,"Woodworking Machine Operators","Woodworking machine operators",,,,,,,,,,,
9514,9416,"Metalworking Machine Operators","Metalworking and forging machine operators",,,,,,,,,,,
9516,9418,"Other Metal Products Machine Operators","Other metal products machine operators",,,,,,,,,,,
9611,9611,"Labourers in Mineral and Metal Processing","Labourers in mineral and metal processing",,,,,,,,,,,
9612,9612,"Labourers in Metal Fabrication","Labourers in metal fabrication",,,,,,,,,,,
9613,9613,"Labourers in Chemical Products Processing and Utilities","Labourers in chemical products processing and utilities",,,,,,,,,,,
9614,9614,"Labourers in Wood, Pulp and Paper Processing","Labourers in wood, pulp and paper processing",,,,,,,,,,,
9615,9615,"Labourers in rubber and plastic products manufacturing","Labourers in rubber and plastic products manufacturing",,,,,,,,,,,
9616,9616,"Labourers in Textile Processing","Labourers in textile processing",,,,,,,,,,,
9617,9617,"Labourers in food, beverage and tobacco processing","Labourers in food, beverage and associated products processing",,,,,,,,,,,
9618,9618,"Labourers in Fish Processing","Labourers in fish and seafood processing",,,,,,,,,,,
9619,9619,"Other labourers in processing, manufacturing and utilities","Other labourers in processing, manufacturing and utilities",,,,,,,,,,,
