CNP 2021 Code (5 chiffres),CNP 2021 Étiquette,CNP 2021 FÉER,CNP 2016 Code (4 chiffres),CNP 2016 Étiquette,CNP 2016 Niveau de compétence,Description
63221,Tapissiers-garnisseurs / tapissières-garnisseuses,3,6345,Tapissiers-garnisseurs / tapissières-garnisseuses,B,s.o.
64100,Vendeurs / vendeuses et décorateur-étalagistes / décoratrices-étalagistes en commerce de détail,4,5243,"Ensembliers / ensemblières de théâtre, dessinateurs / dessinatrices de mode, concepteurs / conceptrices d'expositions et autres concepteurs / conceptrices artistiques",B,Le CNP 5243 a été divisé. Les appellations d'emploi liées aux vendeurs et décorateur-étalagistes en commerce de détail ont été déplacées du CNP 5243 au CNP 64100.
,,,6421,Vendeurs / vendeuses - commerce de détail,C,Les appellations d'emploi liées au vendeurs - commerce de détail ont été déplacées du CNP 5234 au CNP 64100.
64101,Représentants / représentantes des ventes et des comptes - commerce de gros (non-technique),4,6411,Représentants / représentantes des ventes et des comptes - commerce de gros (non-technique),C,Le CNP 6411 a été divisé. Les appellations d'emploi liées aux représentants des ventes et des comptes en commerce de gros (non-technique) ont été déplacées du CNP 6411 au CNP 64101.
64200,"Tailleurs / tailleuses, couturiers / couturières, fourreurs / fourreuses et modistes",4,6342,"Tailleurs / tailleuses, couturiers / couturières, fourreurs / fourreuses et modistes",B,s.o.
64201,"Conseillers / conseillères imagistes, conseillers mondains / conseillères mondaines et autres conseillers / conseillères en soins personnalisés",4,6561,Personnel des services des aliments et des boissons,C,s.o.
64300,Maîtres d'hôtel et hôtes / hôtesses,4,6511,Maîtres d'hôtel et hôtes / hôtesses,C,s.o.
64301,Barmans / barmaids,4,6512,Barmans / barmaids,C,s.o.
64310,Conseillers / conseillères en voyages,4,6521,Conseillers / conseillères en voyages,C,s.o.
64311,Commissaires et agents / agentes de bord,4,6522,Commissaires et agents / agentes de bord,C,s.o.
64312,Agents / agentes à la billetterie et aux services aériens,4,6523,Agents / agentes à la billetterie et aux services aériens,C,s.o.
64313,"Agents / agentes à la billetterie, représentants / représentantes du service en matière de fret et personnel assimilé dans le transport routier et maritime",4,6524,"Agents / agentes à la billetterie, représentants / représentantes du service en matière de fret et personnel assimilé dans le transport routier et maritime",C,s.o.
64314,Réceptionnistes d'hôtel,4,6525,Réceptionnistes d'hôtel,C,s.o.
64320,Guides touristiques et guides itinérants / guides itinérantes,4,6531,Guides touristiques et guides itinérants / guides itinérantes,C,s.o.
64321,Travailleurs / travailleuses dans les casinos,4,6533,Travailleurs / travailleuses dans les casinos,C,s.o.
64322,Guides d'activités récréatives et sportives de plein air,4,6532,Guides d'activités récréatives et sportives de plein air,C,s.o.
64400,Représentants / représentantes au service à la clientèle - institutions financières,4,6551,Représentants / représentantes au service à la clientèle - institutions financières,C,s.o.
64401,Représentants / représentantes des services postaux,4,1511,Commis au courrier et aux services postaux et personnel assimilé,C,"Le CNP 1511 a été divisé. Les appellations d'emploi liées aux commis et aux travailleurs des postes ont été déplacées du CNP 1511 au CNP 64401. La profession de commis au courrier et de postier a été déplacée au secteur des services, GCP 6 (Vente et services)."
64409,Autres préposés / autres préposées aux services d'information et aux services à la clientèle,4,1123,"Professionnels / professionnelles en publicité, en marketing et en relations publiques",A,"Le CNP 1123 a été divisé. Les appellations d'emploi ""agent / agente d'information touristique"" et ""technicien / technicienne en tourisme"" ont été déplacées du CNP 1123 au CNP 64409."
,,,6552,Autres préposés / autres préposées aux services d'information et aux services à la clientèle,C,Les appellations d'emploi liées aux autres préposés aux services d'information et aux services à la clientèle ont été déplacées du CNP 6552 au CNP 64409.
64410,Agents / agentes de sécurité et personnel assimilé des services de sécurité,4,6541,Agents / agentes de sécurité et personnel assimilé des services de sécurité,C,Le CNP 6541 a été divisé. Les appellations d'emploi liées aux agents de sécurité et personnel assimilé des services de sécurité ont été déplacées du CNP 6541 au CNP 64410.
65100,Caissiers / caissières,5,6611,Caissiers / caissières,D,s.o.
65101,Préposés / préposées de stations-service,5,6621,Préposés / préposées de stations-service,D,s.o.
65102,"Garnisseurs / garnisseuses de tablettes, commis et préposés / préposées aux commandes dans les magasins",5,6622,"Garnisseurs / garnisseuses de tablettes, commis et préposés / préposées aux commandes dans les magasins",D,s.o.
65109,Autre personnel assimilé des ventes,5,6623,Autre personnel assimilé des ventes,D,s.o.
65200,Serveurs / serveuses d'aliments et de boissons,5,6513,Serveurs / serveuses d'aliments et de boissons,C,s.o.
65201,"Serveurs / serveuses au comptoir, aides de cuisine et personnel de soutien assimilé",5,6711,"Serveurs / serveuses au comptoir, aides de cuisine et personnel de soutien assimilé",D,s.o.
65202,Coupeurs / coupeuses de viande et poissonniers / poissonnières - commerce de gros et de détail,5,6331,"Bouchers / bouchères, coupeurs / coupeuses de viande et poissonniers / poissonnières - commerce de gros et de détail",B,Le CNP 6331 a été divisé. Les appellations d'emploi liées aux coupeurs de viande et poissonnerie ont été déplacées du CNP 6331 au CNP 65202.
65210,"Personnel de soutien en services d'hébergement, de voyage et en services de montage d'installation",5,6721,"Personnel de soutien en services d'hébergement, de voyage et en services de montage d'installation",D,s.o.
65211,"Opérateurs / opératrices et préposés / préposées aux sports, aux loisirs et dans les parcs d'attractions",5,6316,Surveillants / surveillantes des autres services,B,"Le CNP 6316 a été divisé. Les appellations d'emploi ""surveillant / surveillante de parc"", ""surveillant / surveillante de patinoire"", et ""surveillant / surveillante de terrain de camping"" ont été déplacées du CNP 6316 au CNP 65211."
,,,6722,"Opérateurs / opératrices et préposés / préposées aux sports, aux loisirs et dans les parcs d'attractions",D,"Les appellations d'emploi liées aux opérateurs et préposés aux sports, aux loisirs et dans les parcs d'attractions ont été déplacées du CNP 6722 au CNP 65211."
65220,Soigneurs / soigneuses d'animaux et travailleurs / travailleuses en soins des animaux,5,6563,Soigneurs / soigneuses d'animaux et travailleurs / travailleuses en soins des animaux,C,s.o.
65229,Autre professions de soutien dans les services personnels,5,6564,Autre personnel de services personnalisés,C,s.o.
65310,Préposés / préposées à l'entretien ménager et au nettoyage - travaux légers,5,6731,Préposés / préposées à l'entretien ménager et au nettoyage - travaux légers,D,"Les appellations d'emploi liées aux préposés à l'entretien ménager et au nettoyage - travaux légers, ont été déplacées du CNP 6731 au CNP 65310."
,,,4412,"Aides familiaux résidents / aides familiales résidentes, aides de maintien à domicile et personnel assimilé",C,"Le CNP 4412 a été divisé. Les appellations d'emplois ""aide ménager / aide ménagère"" et ""aide domestique"" ont été déplacées du CNP 4412 au CNP 65310."
65311,Nettoyeurs spécialisés / nettoyeuses spécialisées,5,6732,Nettoyeurs spécialisés / nettoyeuses spécialisées,D,s.o.
65312,Concierges et nettoyeurs / nettoyeuses – gros travaux,5,6733,Concierges et surintendants / surintendantes d'immeubles,D,Le CNP 6733 a été divisé. Les appellations d'emploi liées aux concierges et nettoyeurs en gros travaux ont été déplacées du CNP 6733 au CNP 65312.
65320,Personnel de blanchisseries et d'établissements de nettoyage à sec et personnel assimilé,5,6741,Personnel de blanchisseries et d'établissements de nettoyage à sec et personnel assimilé,D,s.o.
65329,Autre personnel de soutien en service,5,6541,Agents / agentes de sécurité et personnel assimilé des services de sécurité,C,"Le CNP 6541 a été divisé. L'appellation d'emploi ""Client mystère / cliente mystère"" a été déplacée du CNP 6541 au CNP 65329."
,,,6742,"Autre personnel de soutien en service, n.c.a.",D,Les appellations d'emploi liées aux autres personnel de soutien en service ont été déplacées du CNP 6742 au CNP 65329.
70010,Directeurs / directrices de la construction,0,711,Directeurs / directrices de la construction,Gestion / A,s.o.
70011,Gestionnaires en construction et rénovation domiciliaire,0,712,Gestionnaires en construction et rénovation domiciliaire,Gestion / A,s.o.
70012,Directeurs / directrices de l'exploitation et de l'entretien d'immeubles,0,714,Directeurs / directrices de l'exploitation et de l'entretien d'immeubles,Gestion / A,Les appellations d'emploi liées aux directeurs de l'exploitation et de l'entretien d'immeubles ont été déplacées du CNP 0714 au CNP 70012.
,,,6221,Spécialistes des ventes techniques - commerce de gros,B,"Le CNP 6221 a été divisé. Les appellations d'emploi ""directeur / directrice de district de silo à grains"", ""directeur / directrice de silo à grains"", et ""directeur adjoint / directrice adjointe d'élévateur à grains"" ont été déplacées du CNP 6221 au CNP 70012."
70020,Directeurs / directrices des transports,0,731,Directeurs / directrices des transports,Gestion / A,s.o.
70021,Directeurs / directrices des services postaux et de messageries,0,132,Directeurs / directrices des services postaux et de messageries,Gestion / A,"Le CNP 0132 a été déplacé au secteur de transport, GCP 7 (Métiers, transport, machinerie et domaines apparentés)."
72010,"Entrepreneurs / entrepreneuses et contremaîtres / contremaîtresses des machinistes et du personnel des métiers du formage, du profilage et du montage des métaux et personnel assimilé",2,7201,"Entrepreneurs / entrepreneuses et contremaîtres / contremaîtresses des machinistes et du personnel des métiers du formage, du profilage et du montage des métaux et personnel assimilé",B,s.o.
72011,Entrepreneurs / entrepreneuses et contremaîtres / contremaîtresses en électricité et en télécommunications,2,7202,Entrepreneurs / entrepreneuses et contremaîtres / contremaîtresses en électricité et en télécommunications,B,s.o.
72012,Entrepreneurs / entrepreneuses et contremaîtres / contremaîtresses en tuyauterie,2,7203,Entrepreneurs / entrepreneuses et contremaîtres / contremaîtresses en tuyauterie,B,s.o.
72013,Entrepreneurs / entrepreneuses et contremaîtres / contremaîtresses en charpenterie,2,7204,Entrepreneurs / entrepreneuses et contremaîtres / contremaîtresses en charpenterie,B,s.o.
72014,Entrepreneurs / entrepreneuses et contremaîtres / contremaîtresses des autres métiers de la construction et des services de réparation et d'installation,2,7205,Entrepreneurs / entrepreneuses et contremaîtres / contremaîtresses des autres métiers de la construction et des services de réparation et d'installation,B,s.o.
72020,Entrepreneurs / entrepreneuses et contremaîtres / contremaîtresses en mécanique,2,7301,Entrepreneurs / entrepreneuses et contremaîtres / contremaîtresses en mécanique,B,s.o.
72021,Entrepreneurs / entrepreneuses et contremaîtres / contremaîtresses des équipes d'opérateurs d'équipement lourd,2,7302,Entrepreneurs / entrepreneuses et contremaîtres / contremaîtresses des équipes d'opérateurs d'équipement lourd,B,s.o.
72022,Surveillants / surveillantes de l'imprimerie et du personnel assimilé,2,7303,Surveillants / surveillantes de l'imprimerie et du personnel assimilé,B,s.o.
72023,Surveillants / surveillantes des opérations du transport ferroviaire,2,7304,Surveillants / surveillantes des opérations du transport ferroviaire,B,s.o.
72024,Surveillants / surveillantes du transport routier et du transport en commun,2,7305,Surveillants / surveillantes du transport routier et du transport en commun,B,s.o.
72025,Superviseurs / superviseures de services postaux et de messageries,2,1214,Superviseurs / superviseures de services postaux et de messageries,B,"Le CNP 1214 a été déplacé au secteur de transport, GCP 7 (Métiers, transport, machinerie et domaines apparentés)."
72100,Machinistes et vérificateurs / vérificatrices d'usinage et d'outillage,2,7231,Machinistes et vérificateurs / vérificatrices d'usinage et d'outillage,B,s.o.
72101,Outilleurs-ajusteurs / outilleuses-ajusteuses,2,7232,Outilleurs-ajusteurs / outilleuses-ajusteuses,B,s.o.
72102,Tôliers / tôlières,2,7233,Tôliers / tôlières,B,s.o.
72103,Chaudronniers / chaudronnières,2,7234,Chaudronniers / chaudronnières,B,s.o.
72104,Assembleurs / assembleuses et ajusteurs / ajusteuses de plaques et de charpentes métalliques,2,7235,Assembleurs / assembleuses et ajusteurs / ajusteuses de plaques et de charpentes métalliques,B,s.o.
72105,Monteurs / monteuses de charpentes métalliques,2,7236,Monteurs / monteuses de charpentes métalliques,B,s.o.
72106,Soudeurs / soudeuses et opérateurs / opératrices de machines à souder et à braser,2,7237,Soudeurs / soudeuses et opérateurs / opératrices de machines à souder et à braser,B,s.o.
72200,Électriciens / électriciennes (sauf électriciens industriels / électriciennes industrielles et de réseaux électriques),2,7241,Électriciens / électriciennes (sauf électriciens industriels / électriciennes industrielles et de réseaux électriques),B,s.o.
72201,Électriciens industriels / électriciennes industrielles,2,7242,Électriciens industriels / électriciennes industrielles,B,s.o.
72202,Électriciens / électriciennes de réseaux électriques,2,7243,Électriciens / électriciennes de réseaux électriques,B,s.o.
72203,Monteurs / monteuses de lignes électriques et de câbles,2,7244,Monteurs / monteuses de lignes électriques et de câbles,B,s.o.
72204,Installateurs / installatrices et réparateurs / réparatrices de lignes et de câbles de télécommunications,2,7245,Monteurs / monteuses de lignes et de câbles de télécommunications,B,Les appellations d'emploi liées aux monteurs de lignes et de câbles de télécommunications ont été déplacées du CNP 7245 au CNP 72204.
,,,7247,Techniciens / techniciennes en montage et en entretien d'installations de câblodistribution,B,Le CNP 7247 a été divisé. Les appellations d'emploi liées aux techniciens de maintenance de la télévision par câble ont été déplacées du CNP 7247 au CNP 72204.
72205,Techniciens / techniciennes en installation de matériel de télécommunication et en services de câblodistribution,2,7246,Installateurs / installatrices et réparateurs / réparatrices de matériel de télécommunications,B,Les appellations d'emploi liées aux installateurs et réparateurs de matériel de télécommunications ont été déplacées du CNP 7246 au CNP 72205.
,,,7247,Techniciens / techniciennes en montage et en entretien d'installations de câblodistribution,B,Le CNP 7247 a été divisé. Les appellations d'emploi liées aux systèmes de distribution et aux techniciens des services de câblodistribution ont été déplacées du CNP 7247 au CNP 72205.
72300,Plombiers / plombières,2,7251,Plombiers / plombières,B,s.o.
72301,"Tuyauteurs / tuyauteuses, monteurs / monteuses d'appareils de chauffage et poseurs / poseuses de gicleurs",2,7252,"Tuyauteurs / tuyauteuses, monteurs / monteuses d'appareils de chauffage et poseurs / poseuses de gicleurs",B,s.o.
72302,Monteurs / monteuses d'installations au gaz,2,7253,Monteurs / monteuses d'installations au gaz,B,s.o.
72310,Charpentiers-menuisiers / charpentières-menuisières,2,7271,Charpentiers-menuisiers / charpentières-menuisières,B,s.o.
72311,Ébénistes,2,7272,Ébénistes,B,s.o.
72320,Briqueteurs-maçons / briqueteuses-maçonnes,2,7281,Briqueteurs-maçons / briqueteuses-maçonnes,B,s.o.
72321,Calorifugeurs / calorifugeuses,2,7293,Calorifugeurs / calorifugeuses,B,s.o.
72400,Mécaniciens / mécaniciennes de chantier et mécaniciens industriels / mécaniciennes industrielles,2,7311,Mécaniciens / mécaniciennes de chantier et mécaniciens industriels / mécaniciennes industrielles,B,s.o.
72401,Mécaniciens / mécaniciennes d'équipement lourd,2,7312,Mécaniciens / mécaniciennes d'équipement lourd,B,s.o.
72402,"Mécaniciens / mécaniciennes en chauffage, réfrigération et climatisation",2,7313,"Mécaniciens / mécaniciennes en chauffage, réfrigération et climatisation",B,s.o.
72403,Réparateurs / réparatrices de wagons,2,7314,Réparateurs / réparatrices de wagons,B,s.o.
72404,Mécaniciens / mécaniciennes et contrôleurs / contrôleuses d'aéronefs,2,7315,Mécaniciens / mécaniciennes et contrôleurs / contrôleuses d'aéronefs,B,s.o.
72405,Ajusteurs / ajusteuses de machines,2,7316,Ajusteurs / ajusteuses de machines,B,s.o.
72406,Constructeurs / constructrices et mécaniciens / mécaniciennes d'ascenseurs,2,7318,Constructeurs / constructrices et mécaniciens / mécaniciennes d'ascenseurs,B,s.o.
72410,"Mécaniciens / mécaniciennes et réparateurs / réparatrices de véhicules automobiles, de camions et d'autobus",2,7321,"Mécaniciens / mécaniciennes et réparateurs / réparatrices de véhicules automobiles, de camions et d'autobus",B,s.o.
72411,"Techniciens / techniciennes en collision, en carrosserie, en peinture et en glace de véhicule automobile et estimateurs / estimatrices de dommages",2,7322,Débosseleurs / débosseleuses et réparateurs / réparatrices de carrosserie,B,s.o.
72420,Installateurs / installatrices de brûleurs à l'huile et à combustibles solides,2,7331,Installateurs / installatrices de brûleurs à l'huile et à combustibles solides,B,s.o.
72421,Réparateurs / réparatrices et préposés / préposées à l'entretien d'appareils,2,7332,Réparateurs / réparatrices et préposés / préposées à l'entretien d'appareils,B,s.o.
72422,Électromécaniciens / électromécaniciennes,2,7333,Électromécaniciens / électromécaniciennes,B,s.o.
72423,"Mécaniciens / mécaniciennes de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé",2,7334,"Mécaniciens / mécaniciennes de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé",B,"Les appellations d'emploi liées aux mécaniciens de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé ont été déplacées du CNP 7334 au CNP 72423."
,,,7384,"Autre personnel des métiers et personnel assimilé, n.c.a.",B,"Le CNP 7384 a été divisé. Les appellations d'emploi liées aux loisirs et aux mécaniciens, réparateurs et techniciens de service de véhicules ont été déplacées du CNP 7384 au CNP 72423."
72429,Autres réparateurs / réparatrices de petits moteurs et de petits équipements,2,7335,Autres réparateurs / réparatrices de petits moteurs et de petits équipements,B,s.o.
72500,Grutiers / grutières,2,7371,Grutiers / grutières,B,Le CNP 7371 a été divisé. Les appellations d'emploi liées aux grutiers ont été déplacées du CNP 7371 au CNP 72500.
72501,Foreurs / foreuses de puits d'eau,2,7373,Foreurs / foreuses de puits d'eau,B,s.o.
72600,"Pilotes, navigateurs / navigatrices et instructeurs / instructrices de pilotage du transport aérien",2,2271,"Pilotes, navigateurs / navigatrices et instructeurs / instructrices de pilotage du transport aérien",B,"Le CNP 2271 a été déplacé au secteur de transport, GCP 7 (Métiers, transport, machinerie et domaines apparentés)."
,,,8252,"Entrepreneurs / entrepreneuses de services agricoles, surveillants / surveillantes d'exploitations agricoles et ouvriers spécialisés / ouvrières spécialisées dans l'élevage",B,"Le CNP 8252 a été divisé. L'appellation d'emploi ""entrepreneur / entrepreneuse de service de poudrage aérien des cultures"" a été déplacée du CNP 8252 au CNP 72600."
72601,Contrôleurs aériens / contrôleuses aériennes et personnel assimilé,2,2272,Contrôleurs aériens / contrôleuses aériennes et personnel assimilé,B,"Le CNP 2272 a été déplacé au secteur de transport, GCP 7 (Métiers, transport, machinerie et domaines apparentés)."
72602,Officiers / officières de pont du transport par voies navigables,2,2273,Officiers / officières de pont du transport par voies navigables,B,"Le CNP 2273 a été déplacé au secteur de transport, GCP 7 (Métiers, transport, machinerie et domaines apparentés)."
72603,Officiers mécaniciens / officières mécaniciennes du transport par voies navigables,2,2274,Officiers mécaniciens / officières mécaniciennes du transport par voies navigables,B,"Le CNP 2274 a été déplacé au secteur de transport, GCP 7 (Métiers, transport, machinerie et domaines apparentés)."
72604,Contrôleurs / contrôleuses de la circulation ferroviaire et régulateurs / régulatrices de la circulation maritime,2,2275,Contrôleurs / contrôleuses de la circulation ferroviaire et régulateurs / régulatrices de la circulation maritime,B,"Le CNP 2275 a été déplacé au secteur de transport, GCP 7 (Métiers, transport, machinerie et domaines apparentés)."
72999,Autres métiers techniques et personnel assimilé,2,7384,"Autre personnel des métiers et personnel assimilé, n.c.a.",B,Le CNP 7384 a été divisé. Les appellations d'emploi liées aux autres métiers techniques et personnel assimilé ont été déplacées du CNP 7384 au CNP 72999.
73100,Finisseurs / finisseuses de béton,3,7282,Finisseurs / finisseuses de béton,B,s.o.
73101,Carreleurs / carreleuses,3,7283,Carreleurs / carreleuses,B,s.o.
73102,"Plâtriers / plâtrières, poseurs / poseuses et finisseurs / finisseuses de systèmes intérieurs et latteurs / latteuses",3,7284,"Plâtriers / plâtrières, poseurs / poseuses et finisseurs / finisseuses de systèmes intérieurs et latteurs / latteuses",B,s.o.
73110,Couvreurs / couvreuses et poseurs / poseuses de bardeaux,3,7291,Couvreurs / couvreuses et poseurs / poseuses de bardeaux,B,s.o.
73111,Vitriers / vitrières,3,7292,Vitriers / vitrières,B,s.o.
73112,Peintres et décorateurs / décoratrices (sauf décorateurs / décoratrices d'intérieur),3,7294,Peintres et décorateurs / décoratrices (sauf décorateurs / décoratrices d'intérieur),B,s.o.
73113,Poseurs / poseuses de revêtements d'intérieur,3,7295,Poseurs / poseuses de revêtements d'intérieur,B,s.o.
73200,"Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",3,7441,"Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",C,s.o.
73201,Préposés à l’entretien général et surintendants / surintendantes,3,6733,Concierges et surintendants / surintendantes d'immeubles,D,Le CNP 6733 a été divisé. Les appellations d'emploi liées aux surintendants d'immeuble et des travaux d'entretien ont été déplacées du CNP 6733 au CNP 73201.
73202,Fumigateurs / fumigatrices et préposés / préposées au contrôle de la vermine,3,7444,Fumigateurs / fumigatrices et préposés / préposées au contrôle de la vermine,C,s.o.
73209,Autres réparateurs / réparatrices et préposés / préposées à l'entretien,3,7445,Autres réparateurs / réparatrices et préposés / préposées à l'entretien,C,Le CNP 7445 a été divisé. Les appellations d'emploi liées aux autres réparateurs et préposés à l'entretien ont été déplacées du CNP 7445 au CNP 73209.
73300,Conducteurs / conductrices de camions de transport,3,7511,Conducteurs / conductrices de camions de transport,C,s.o.
73301,Conducteurs / conductrices d'autobus et opérateurs / opératrices de métro et autres transports en commun,3,7512,Conducteurs / conductrices d'autobus et opérateurs / opératrices de métro et autres transports en commun,C,s.o.
73310,Mécaniciens / mécaniciennes de locomotive et de cour de triage,3,7361,Mécaniciens / mécaniciennes de locomotive et de cour de triage,B,s.o.
73311,Chefs de train et serre-freins,3,7362,Chefs de train et serre-freins,B,s.o.
73400,Conducteurs / conductrices d'équipement lourd,3,7521,Conducteurs / conductrices d'équipement lourd (sauf les grues),C,s.o.
73401,Opérateurs / opératrices de presses à imprimer,3,7381,Opérateurs / opératrices de presses à imprimer,B,s.o.
73402,"Foreurs / foreuses et dynamiteurs / dynamiteuses de mines à ciel ouvert, de carrières et de chantiers de construction",3,7372,"Foreurs / foreuses et dynamiteurs / dynamiteuses de mines à ciel ouvert, de carrières et de chantiers de construction",B,s.o.
74100,Trieurs / trieuses de courrier et de colis et professions connexes,4,1511,Commis au courrier et aux services postaux et personnel assimilé,C,"Le CNP 1511 a été divisé. Les appellations d'emploi liées aux trieur de courrier ont été déplacées du CNP 1511 au CNP 74100. La profession de trieur de courrier et de colis a été déplacée au secteur des transports, BOC 7 (Métiers, opérateurs de transport et d'équipement et professions connexes)."
74101,Facteurs / factrices,4,1512,Facteurs / factrices,C,"Le CNP 1512 a été déplacé au secteur de transport, GCP 7 (Métiers, transport, machinerie et domaines apparentés)."
74102,Messagers / messagères,4,1513,Messagers / messagères et distributeurs / distributrices porte-à-porte,C,"Le CNP 1513 a été divisé. Les appellations d'emploi liées aux messagers ont été déplacées du CNP 7513 au CNP 74102. Cette profession a été déplacée au secteur de transport, GCP 7 (Métiers, transport, machinerie et domaines apparentés)."
,,,7514,Chauffeurs-livreurs / chauffeuses-livreuses - services de livraison et de messagerie,C,Le CNP 7514 a été divisé. Les appellations d'emploi liées aux chauffeurs de service de messagerie ont été déplacées du CNP 7514 au CNP 74102.
74200,Ouvriers / ouvrières de gares de triage et à l'entretien de la voie ferrée,4,7531,Ouvriers / ouvrières de gares de triage et à l'entretien de la voie ferrée,C,s.o.
74201,Matelots de pont et matelots de salle des machines du transport par voies navigables,4,7532,Matelots de pont et matelots de salle des machines du transport par voies navigables,C,s.o.
74202,Agents / agentes de piste dans le transport aérien,4,7534,Agents / agentes de piste dans le transport aérien,C,Les appellations d'emploi liées agents de piste dans le transport aérien ont été déplacées du CNP 7534 au CNP 74202.
,,,1215,"Superviseurs / superviseures du personnel de co-ordination de la chaîne d'approvisionnement, du suivi et des horaires",B,"Le CNP 1215 a été divisé. L'appellation d'emploi ""superviseur / superviseure des services de passerelle - aéroport"" a été déplacée du CNP 1215 au CNP 74202."
74203,Préposés / préposées à la pose et à l'entretien des pièces mécaniques d'automobiles et de camions et équipements lourds,4,7535,Autres préposés / préposées à la pose et à l'entretien des pièces mécaniques d'automobiles,C,s.o.
74204,Personnel d'entretien des services publics,4,7442,Personnel d'entretien des canalisations d'eau et de gaz,C,Les appellations d'emploi liées aux personnel d'entretien des canalisations d'eau et de gaz ont été déplacées du CNP 7442 au CNP 74204.
,,,7522,Conducteurs / conductrices de machinerie d'entretien public et personnel assimilé,C,Le CNP 7522 a été divisé. Les appellations d'emploi liées à l'inspection des services publics et des poteaux électriques ont été déplacées du CNP 7522 au CNP 74204.
74205,Conducteurs / conductrices de machinerie d'entretien public et personnel assimilé,4,7522,Conducteurs / conductrices de machinerie d'entretien public et personnel assimilé,C,s.o.
75100,Débardeurs / débardeuses,5,7451,Débardeurs / débardeuses,C,s.o.
75101,Manutentionnaires,5,6221,Spécialistes des ventes techniques - commerce de gros,B,"Le CNP 6221 a été divisé. L'appellation d'emploi ""agent / agente d'élévateur à grains"" a été déplacée du CNP 6221 au CNP 75101."
,,,7452,Manutentionnaires,C,Les appellations d'emploi liées au manutentionnaires ont été déplacées du CNP 7452 au CNP 75101.
75110,Aides de soutien des métiers et manoeuvres en construction,5,7371,Grutiers / grutières,B,Le CNP 7371 a été divisé. Les appellations d'emploi liées au gréement ont été déplacées du CNP 7371 au CNP 75110.
,,,7611,Aides de soutien des métiers et manoeuvres en construction,D,Les appellations d'emploi liées au aides de soutien des métiers et manoeuvres en construction ont été déplacées du CNP 7611 au CNP 75110.
75119,Autres manoeuvres et aides de soutien de métiers,5,7612,Autres manoeuvres et aides de soutien de métiers,D,s.o.
75200,"Chauffeurs / chauffeuses de taxi, chauffeurs / chauffeuses de limousine et chauffeurs / chauffeuses",5,7513,"Chauffeurs / chauffeuses de taxi, chauffeurs / chauffeuses de limousine et chauffeurs / chauffeuses",C,s.o.
75201,Chauffeurs-livreurs / chauffeuses-livreuses de services de livraison et distributeurs / distributrices porte-à-porte,5,7514,Chauffeurs-livreurs / chauffeuses-livreuses - services de livraison et de messagerie,C,Le CNP 7514 a été divisé. Les appellations d'emploi liées aux chauffeurs-livreurs de service de livraison et distributeurs de porte-à-porte ont été déplacées du CNP 7514 au CNP 75201.
,,,1513,Messagers / messagères et distributeurs / distributrices porte-à-porte,C,Le CNP 1513 a été divisé. Les appellations d'emploi liées aux distributeurs de porte-à-porte ont été déplacées du CNP 1513 au CNP 75201.
75210,"Opérateurs / opératrices de bateau à moteur, de bac à câble et personnel assimilé",5,7533,"Opérateurs / opératrices de bateau à moteur, de bac à câble et personnel assimilé",C,s.o.
75211,Manoeuvres dans le transport ferroviaire et routier,5,7622,Manoeuvres dans le transport ferroviaire et routier,D,s.o.
75212,Manoeuvres à l'entretien des travaux publics,5,7621,Manoeuvres à l'entretien des travaux publics,D,s.o.
80010,Directeurs / directrices de l'exploitation des ressources naturelles et de la pêche,0,811,Directeurs / directrices de l'exploitation des ressources naturelles et de la pêche,Gestion / A,s.o.
80020,Gestionnaires en agriculture,0,821,Gestionnaires en agriculture,Gestion / A,s.o.
80021,Gestionnaires en horticulture,0,822,Gestionnaires en horticulture,Gestion / A,s.o.
80022,Gestionnaires en aquaculture,0,823,Gestionnaires en aquaculture,Gestion / A,s.o.
82010,Surveillants / surveillantes de l'exploitation forestière,2,8211,Surveillants / surveillantes de l'exploitation forestière,B,s.o.
82020,Surveillants / surveillantes de l'exploitation des mines et des carrières,2,8221,Surveillants / surveillantes de l'exploitation des mines et des carrières,B,s.o.
82021,Entrepreneurs / entrepreneuses et surveillants / surveillantes du forage et des services reliés à l'extraction de pétrole et de gaz,3,8222,Entrepreneurs / entrepreneuses et surveillants / surveillantes du forage et des services reliés à l'extraction de pétrole et de gaz,B,s.o.
82030,Ouvriers spécialisés / ouvrières spécialisées dans l’élevage et opérateurs / opératrices de machineries agricoles,2,8252,"Entrepreneurs / entrepreneuses de services agricoles, surveillants / surveillantes d'exploitations agricoles et ouvriers spécialisés / ouvrières spécialisées dans l'élevage",B,Le CNP 8252 a été divisé. Les appellations d'emploi liées aux entrepreneurs de services agricoles et surveillants d'exploitations agricoles ont été déplacées du CNP 8252 au CNP 82030.
82031,"Entrepreneurs / entrepreneuses et superviseurs / superviseures des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",2,8255,"Entrepreneurs / entrepreneuses et superviseurs / superviseures des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",B,s.o.
